id,Name,titleProject_id,class,score
30396880,Сербин Геннадий Михаилович,7,8в,2
429268856,Папандина Клавдия Яковлевна,304,9в,5
444537079,Белагина Галина Андреевна,396,9а,4
607016151,Кижняева Анна Леонидовна,178,7и,2
731978886,Цывин Олег Яковлевич,446,7т,2
850860487,Жидняева Ксения Эдуардовна,373,7х,4
592499616,Липковский Анатолий Иванович,144,10а,2
528248211,Меднова Наталья Богдановна,290,7и,5
146589486,Житихин Вячеслав Романович,141,9а,5
591759834,Шеврина Полина Максимовна,33,11а,5
36575907,Алпеев Валентин Данилович,323,8а,2
274785572,Золикова Клара Игоревна,364,10х,2
218838520,Дориков Дмитрий Петрович,296,10г,5
488581671,Корабышев Кирилл Михаилович,302,8и,5
61323810,Ростовиков Константин Николаевич,336,10а,2
766555141,Нехаев Дмитрий Фёдорович,129,7х,4
462576325,Зызлова Мария Николаевна,430,8г,3
717791818,Королупов Валерий Тимофеевич,397,10д,5
421435232,Стенцов Евгений Яковлевич,315,8и,4
967995267,Феклисов Константин Виталиевич,270,9т,None
205758173,Синелев Руслан Тимофеевич,300,8и,2
354960755,Опевалова Вера Евгеньевна,473,9д,5
612255008,Назерова Вероника Василевна,206,7б,5
118628387,Дименская Светлана Дмитриевна,387,9д,5
740852505,Ковторева Раиса Василевна,482,9и,2
303312261,Кулишнин Вячеслав Яковлевич,386,11х,5
354729615,Лексин Кирилл Антонович,139,7в,5
680860897,Лаковский Григорий Василиевич,240,7д,5
26937799,Барамыкова Александра Алексеевна,106,10а,3
423454142,Плясулина Оксана Андреевна,346,8х,2
402506134,Петрикеев Станислав Яковлевич,14,7и,4
394531107,Моторыгин Илья Георгиевич,238,10и,5
192316603,Рыков Тарас Павлович,174,10и,5
536678782,Иончикова Елизавета Егоровна,169,8д,5
28056354,Смолькина Алиса Егоровна,441,7г,5
98708204,Оболенин Герасим Павлович,472,7и,4
313364918,Трощинский Георгий Борисович,67,9д,3
229608501,Поддубская Лиза Игоревна,496,10а,4
764046726,Телькова Валерия Олеговна,335,7х,4
784633536,Чигварина Александра Алексеевна,428,10б,2
265274005,Киреевский Артур Игоревич,119,7в,3
958805563,Шумейкин Роман Павлович,420,8в,5
634334187,Трушинов Максим Алексиевич,82,8и,4
956970001,Голюков Денис Сергеевич,62,11б,4
875655987,Хлиманкова Надежда Валерьевна,461,10б,3
429811510,Кулаженков Алексей Олегович,367,10в,2
701897076,Бутукин Владимир Адамович,221,7х,5
53483531,Поддуев Леонид Олегович,149,9х,4
524150375,Ревцев Василий Павлович,360,9х,5
830818316,Старокожев Артём Юрьевич,46,8д,3
502291292,Светошев Максим Михаилович,321,10х,2
352452333,Старынина Кристина Федоровна,266,9д,3
585316653,Востров Дмитрий Денисович,282,9г,3
601320732,Бураханова Анастасия Леонидовна,16,8г,2
836671970,Понизов Виктор Кириллович,214,11и,5
893418765,Суздалев Валерий Алексеевич,66,11т,5
987563542,Колендин Дмитрий Алексеевич,153,10в,4
422063389,Сулькова Екатерина Андреевна,325,8и,4
410869454,Аржевитова Надежда Федоровна,242,10в,2
457664353,Крассов Валерий Олегович,201,8х,5
842725216,Сонураева Инна Андреевна,450,9т,3
896915647,Пашин Роман Вадимович,204,10д,2
458453239,Фичкина Евгения Федоровна,29,11д,3
323973610,Свилин Олег Виталиевич,123,8в,2
101364033,Рогоцкий Андрей Адамович,142,9в,2
695898842,Ахантьев Игорь Валериевич,80,10д,5
173489309,Сочиникова Ксения Кирилловна,100,10д,2
240659822,Остюков Артур Романович,329,11и,3
57498352,Брюкина Оксана Викторовна,98,8в,5
803934166,Кузовенков Игорь Юрьевич,322,9г,None
677550894,Калухов Тарас Иванович,207,11а,3
380969215,Батыров Пётр Виталиевич,227,7и,3
683390648,Озрина Катерина Валерьевна,147,10а,4
638230652,Декалова Полина Леонидовна,470,11д,5
71492496,Лосицкий Владимир Кириллович,369,9т,5
368708981,Магнусов Пётр Максимович,437,7и,5
491351881,Лавренков Михаил Василиевич,188,9б,2
419690534,Шушкалова Вероника Алексеевна,411,8т,5
775001450,Бороданова Маргарита Дмитриевна,118,7г,5
578344214,Циркина Виолетта Федоровна,231,9г,2
39340370,Болохина Екатерина Андреевна,194,11д,3
748284162,Чукалова Дарья Валерьевна,20,10г,4
640967716,Беловолов Степан Петрович,222,9д,2
823419305,Зудейкина Вероника Ивановна,166,8и,3
78437742,Макунова Мария Борисовна,47,9в,5
891467579,Верзанский Геннадий Андреевич,497,7д,5
870536047,Алтубин Ярослав Леонидович,414,10г,5
214441437,Аузин Игорь Алексиевич,435,8х,5
741294281,Калыгин Степан Тимофеевич,353,8и,2
995807258,Дурныгина Полина Игоревна,72,8и,2
485199798,Антюфеева Александра Вадимовна,347,8и,2
87760300,Лощинский Борис Романович,210,10б,3
151071568,Ходорков Евгений Виталиевич,344,9г,5
278840401,Кафорин Федор Данилович,427,10д,3
998649358,Косынская Алиса Дмитриевна,40,9в,3
702832283,Беремцев Артём Антонович,434,11т,2
96460114,Влянская Мария Андреевна,490,7т,4
514379332,Мыгеева Лиза Василевна,280,8в,5
897251306,Акутникова Мария Алексеевна,173,11в,2
544490870,Карябкин Константин Максимович,89,7и,2
544438679,Прилепина Яна Максимовна,30,10в,5
962155748,Ведищев Никита Георгиевич,365,7и,5
616829789,Самчева Вероника Борисовна,287,10г,3
313515310,Пирцхалова Карина Леонидовна,452,10г,5
737329630,Павлочев Денис Борисович,432,11д,5
472156758,Арашкова Екатерина Евгеньевна,356,8х,None
413570637,Байсарова Людмила Василевна,215,11и,2
578102051,Кудекина Зинаида Игоревна,250,10и,3
524030072,Дерналов Виталий Викторович,1,9г,4
278435064,Сазинова Галина Романовна,61,9и,3
748271329,Остаченова Марина Эдуардовна,229,9т,5
303586428,Битюкова Яна Егоровна,488,9и,4
